index,date,archetype,home_region,n_transactions,n_failed,avg_amount,amount_std,n_unique_users,n_new_users,n_devices,distinct_regions_seen,label_fraud_spike,failed_rate,new_user_ratio,device_per_user,history_days,txn_baseline_mean,txn_baseline_std,fail_baseline_mean,fail_baseline_std,amt_baseline_mean,amt_baseline_std,amtstd_baseline_mean,amtstd_baseline_std,newuser_baseline_mean,newuser_baseline_std,region_baseline_mean,region_baseline_std,txn_volume_zscore,failed_rate_delta,amount_zscore,amount_volatility_ratio,new_user_ratio_delta,device_diversity_ratio,region_spread_zscore,rolling_volume_trend,has_sufficient_history
0,2026-01-01,medium,Telangana,205,12,1651.02,1132.25,132,19,112,1,0,0.05853658536585366,0.14393939393939395,0.8484848484848485,0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.8484848484848485,0.0,1.0,False
1,2026-01-02,medium,Telangana,182,9,1607.25,1208.26,125,16,106,1,0,0.04945054945054945,0.128,0.848,1,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.848,0.0,1.0,False
2,2026-01-03,medium,Telangana,193,15,1510.82,1035.92,135,23,114,1,0,0.07772020725388601,0.17037037037037037,0.8444444444444444,2,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.8444444444444444,0.0,1.0,False
3,2026-01-04,medium,Telangana,204,8,1524.11,1108.72,148,20,125,1,0,0.0392156862745098,0.13513513513513514,0.8445945945945946,3,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.8445945945945946,0.0,1.0,False
4,2026-01-05,medium,Telangana,187,11,1577.82,1112.51,156,21,132,1,0,0.058823529411764705,0.1346153846153846,0.8461538461538461,4,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.8461538461538461,0.0,1.0,False
5,2026-01-06,medium,Telangana,206,12,1694.72,1129.52,137,17,116,1,0,0.05825242718446602,0.12408759124087591,0.8467153284671532,5,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.8467153284671532,0.0,1.0,False
6,2026-01-07,medium,Telangana,169,7,1719.52,1251.68,123,13,104,1,0,0.04142011834319527,0.10569105691056911,0.8455284552845529,6,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.8455284552845529,0.0,1.0,False
7,2026-01-08,medium,Telangana,225,12,1688.49,1222.38,181,23,153,1,0,0.05333333333333334,0.1270718232044199,0.8453038674033149,7,192.28571428571428,13.924969009113157,0.05477415761203213,0.013025040159703181,1612.18,80.70353337989611,1139.837142857143,70.55534723753772,0.13454841888738986,0.01981922209235486,1.0,0.0,2.3493255671072553,-0.0014408242786987935,0.9455595908147606,1.0724163602319128,-0.007476595682969961,0.8453038674033149,0.0,0.9742446755819714,True
8,2026-01-09,medium,Telangana,200,14,1671.74,1218.39,130,23,110,1,0,0.07,0.17692307692307693,0.8461538461538461,8,196.375,17.319992576705765,0.05459405457719478,0.012069598790515609,1621.71875,79.43881372972358,1150.155,71.54419213724779,0.13361384442701862,0.01853845976691738,1.0,0.0,0.20929570171267758,0.015405945422805226,0.6296827413635406,1.0593267863896607,0.04330923249605831,0.8461538461538461,0.0,1.0184595798854232,True
9,2026-01-10,medium,Telangana,223,7,1550.87,1089.87,181,29,153,1,0,0.03139013452914798,0.16022099447513813,0.8453038674033149,9,196.77777777777777,16.246367115279785,0.0563058262908398,0.012403115523538063,1627.2766666666666,76.15591523315837,1157.7366666666667,70.68298964390232,0.1384259813710251,0.022563801473250485,1.0,0.0,1.6140360510233764,-0.024915691761691817,-1.00329260613231,0.9413798762528035,0.021795013104113026,0.8453038674033149,0.0,1.0062111801242237,True
10,2026-01-11,medium,Telangana,222,10,1564.28,1176.53,167,25,141,1,0,0.04504504504504504,0.1497005988023952,0.844311377245509,10,199.4,17.41774318842076,0.053814257114670624,0.014100475657418721,1619.636,75.7568979184221,1150.95,70.01109134352295,0.1406054826814364,0.022361975245645347,1.0,0.0,1.2975274555101015,-0.008769212069625582,-0.7307057379726587,1.0222251183804683,0.009095116120958785,0.844311377245509,0.0,1.083249749247743,True
11,2026-01-12,medium,Telangana,196,17,1673.05,1084.26,120,15,102,1,0,0.08673469387755102,0.125,0.85,11,201.45454545454547,17.873800023294635,0.05301705601743194,0.013635684723281645,1614.6036363636363,73.78189713916653,1153.2754545454545,66.86465992789263,0.1414323114197054,0.0213909384222589,1.0,0.0,-0.3051698825899723,0.03371763786011908,0.7921504583451257,0.9401570073537584,-0.016432311419705387,0.85,0.0,1.0672382671480143,True
12,2026-01-13,medium,Telangana,193,13,1697.24,1190.92,123,16,104,1,0,0.06735751295336788,0.13008130081300814,0.8455284552845529,12,201.0,17.114587079713345,0.055826859172441866,0.01624096435883561,1619.4741666666666,72.34324501459987,1147.5241666666668,66.7934623173057,0.14006295213472994,0.020939830654491755,1.0,0.0,-0.4674375117985022,0.011530653780926013,1.0749563876715669,1.0378169232456251,-0.009981651321721796,0.8455284552845529,0.0,1.0630182421227197,True
13,2026-01-14,medium,Telangana,205,7,1668.21,1214.12,161,23,136,1,0,0.03414634146341464,0.14285714285714285,0.84472049689441,13,200.3846153846154,16.535509575549128,0.05671383254020539,0.015874998031899235,1625.456153846154,72.5438526615065,1150.8623076923077,65.07263225988919,0.1392951328022898,0.020238599351405748,1.0,0.0,0.27911958771499434,-0.022567491076790756,0.5893517449829668,1.0549654740492245,0.003562010054853043,0.84472049689441,0.0,1.0163787587971849,True
14,2026-01-15,medium,Telangana,189,7,1555.13,1211.9,137,7,116,1,0,0.037037037037037035,0.051094890510948905,0.8467153284671532,14,200.71428571428572,15.934619164325449,0.0551018688918632,0.016401454973931223,1628.51,70.62830898987485,1155.3807142857142,64.76530486946824,0.13954956209192218,0.01946790747797633,1.0,0.0,-0.7351468895166166,-0.018064831854826165,-1.0389601712044316,1.0489183219136797,-0.08845467158097328,0.8467153284671532,0.0,0.9864768683274021,True
15,2026-01-16,medium,Telangana,214,17,1612.46,1164.58,159,23,135,1,0,0.0794392523364486,0.14465408805031446,0.8490566037735849,15,199.57142857142858,16.175547955118912,0.053566186868376296,0.017048854757858938,1621.6607142857142,72.89075107143734,1161.07,66.06251666181292,0.13291781184703322,0.030528963829986593,1.0,0.0,0.8919989275544358,0.025873065468072297,-0.12622608699280558,1.0030230735442307,0.011736276203281243,0.8490566037735849,0.0,0.9804342638988307,True
16,2026-01-17,medium,Telangana,249,14,1605.95,1096.2,174,18,147,1,0,0.05622489959839357,0.10344827586206896,0.8448275862068966,16,201.85714285714286,15.757084574429188,0.05570823707451195,0.018327920208861374,1622.032857142857,72.82478777370872,1157.95,64.67937003165932,0.13410738956491283,0.03064683845737889,1.0,0.0,2.9918515014738967,0.0005166625238816197,-0.2208431721467122,0.9466729996977417,-0.030659113702843868,0.8448275862068966,0.0,1.004010379806558,True
17,2026-01-18,medium,Telangana,224,9,1713.89,1298.38,198,33,168,1,0,0.04017857142857143,0.16666666666666666,0.8484848484848485,17,205.85714285714286,19.89919651589033,0.05417285795626249,0.017208229766021387,1628.827857142857,65.74355577411507,1162.2557142857142,57.54373917883094,0.12932723995717701,0.029761944013427386,1.0,0.0,0.91173817638161,-0.013994286527691059,1.2938476152613911,1.1171207713080107,0.03733942670948964,0.8484848484848485,0.0,1.0557483229238955,True
