merchant_id,date,archetype,home_region,n_transactions,n_failed,avg_amount,amount_std,n_unique_users,n_new_users,n_devices,distinct_regions_seen,label_fraud_spike
M0000,2026-01-01,medium,Telangana,205,12,1651.02,1132.25,132,19,112,1,0
M0000,2026-01-02,medium,Telangana,182,9,1607.25,1208.26,125,16,106,1,0
M0000,2026-01-03,medium,Telangana,193,15,1510.82,1035.92,135,23,114,1,0
M0000,2026-01-04,medium,Telangana,204,8,1524.11,1108.72,148,20,125,1,0
M0000,2026-01-05,medium,Telangana,187,11,1577.82,1112.51,156,21,132,1,0
M0000,2026-01-06,medium,Telangana,206,12,1694.72,1129.52,137,17,116,1,0
M0000,2026-01-07,medium,Telangana,169,7,1719.52,1251.68,123,13,104,1,0
M0000,2026-01-08,medium,Telangana,225,12,1688.49,1222.38,181,23,153,1,0
M0000,2026-01-09,medium,Telangana,200,14,1671.74,1218.39,130,23,110,1,0
M0000,2026-01-10,medium,Telangana,223,7,1550.87,1089.87,181,29,153,1,0
M0000,2026-01-11,medium,Telangana,222,10,1564.28,1176.53,167,25,141,1,0
M0000,2026-01-12,medium,Telangana,196,17,1673.05,1084.26,120,15,102,1,0
M0000,2026-01-13,medium,Telangana,193,13,1697.24,1190.92,123,16,104,1,0
M0000,2026-01-14,medium,Telangana,205,7,1668.21,1214.12,161,23,136,1,0
M0000,2026-01-15,medium,Telangana,189,7,1555.13,1211.9,137,7,116,1,0
M0000,2026-01-16,medium,Telangana,214,17,1612.46,1164.58,159,23,135,1,0
M0000,2026-01-17,medium,Telangana,249,14,1605.95,1096.2,174,18,147,1,0
M0000,2026-01-18,medium,Telangana,224,9,1713.89,1298.38,198,33,168,1,0
M0000,2026-01-19,medium,Telangana,213,10,1519.17,1257.61,185,31,157,1,0
M0000,2026-01-20,medium,Telangana,215,14,1688.73,1354.5,138,15,117,1,0
M0000,2026-01-21,medium,Telangana,207,7,1591.99,1160.7,173,25,147,1,0
M0000,2026-01-22,medium,Telangana,200,19,1572.39,1228.04,127,14,107,1,0
M0000,2026-01-23,medium,Telangana,227,9,1482.96,1029.11,149,25,126,1,0
M0000,2026-01-24,medium,Telangana,224,12,1578.55,1160.2,200,27,170,1,0
M0000,2026-01-25,medium,Telangana,248,16,1657.05,1128.6,219,31,186,1,0
M0000,2026-01-26,medium,Telangana,206,10,1615.83,1229.2,163,19,138,1,0
M0000,2026-01-27,medium,Telangana,214,5,1531.94,1120.44,136,19,115,1,0
M0000,2026-01-28,medium,Telangana,190,11,1535.03,1066.57,158,25,134,1,0
M0000,2026-01-29,medium,Telangana,186,12,1458.79,1051.49,114,9,96,1,0
M0000,2026-01-30,medium,Telangana,183,13,1583.39,1108.01,144,23,122,1,0
M0000,2026-01-31,medium,Telangana,240,19,1587.87,1147.56,167,15,141,1,0
M0000,2026-02-01,medium,Telangana,219,10,1695.85,1179.8,151,20,128,1,0
M0000,2026-02-02,medium,Telangana,206,9,1578.29,1121.08,162,20,137,1,0
M0000,2026-02-03,medium,Telangana,220,20,1652.7,1193.39,193,27,164,1,0
M0000,2026-02-04,medium,Telangana,201,12,1606.38,1028.37,161,22,136,1,0
M0000,2026-02-05,medium,Telangana,197,10,1592.75,1114.54,143,17,121,1,0
M0000,2026-02-06,medium,Telangana,203,9,1727.05,1257.71,131,23,111,1,0
M0000,2026-02-07,medium,Telangana,233,12,1827.41,1328.55,200,27,170,1,0
M0000,2026-02-08,medium,Telangana,198,14,1656.46,1196.38,160,18,136,1,0
M0000,2026-02-09,medium,Telangana,184,6,1681.18,1288.92,143,20,121,1,0
M0000,2026-02-10,medium,Telangana,211,12,1608.15,1095.87,163,25,138,1,0
M0000,2026-02-11,medium,Telangana,213,18,1685.29,1200.88,143,24,121,1,0
M0000,2026-02-12,medium,Telangana,224,12,1604.89,1139.38,193,29,164,1,0
M0000,2026-02-13,medium,Telangana,199,10,1595.82,1103.7,135,7,114,1,0
M0000,2026-02-14,medium,Telangana,231,18,1486.97,951.65,159,28,135,1,0
M0000,2026-02-15,medium,Telangana,214,7,1525.7,1037.57,165,32,140,1,0
M0000,2026-02-16,medium,Telangana,211,11,1674.38,1221.67,145,26,123,1,0
M0000,2026-02-17,medium,Telangana,220,15,1674.04,1194.29,183,32,155,1,0
M0000,2026-02-18,medium,Telangana,166,14,1530.16,1239.21,136,21,115,1,0
M0000,2026-02-19,medium,Telangana,221,14,1634.01,1198.16,184,24,156,1,0
M0000,2026-02-20,medium,Telangana,192,12,1522.34,1031.09,118,14,100,1,0
M0000,2026-02-21,medium,Telangana,235,15,1624.17,1106.96,163,24,138,1,0
M0000,2026-02-22,medium,Telangana,229,15,1590.79,1025.22,137,24,116,1,0
M0000,2026-02-23,medium,Telangana,184,9,1589.36,1037.95,152,19,129,1,0
M0000,2026-02-24,medium,Telangana,209,10,1826.85,1458.15,153,18,130,1,0
M0000,2026-02-25,medium,Telangana,197,3,1628.72,1088.56,139,14,118,1,0
M0000,2026-02-26,medium,Telangana,173,7,1471.16,1023.2,138,17,117,1,0
M0000,2026-02-27,medium,Telangana,205,18,1620.59,1326.65,181,25,153,1,0
M0000,2026-02-28,medium,Telangana,247,13,1575.85,1121.39,196,27,166,1,0
M0000,2026-03-01,medium,Telangana,242,23,1545.34,1038.12,154,23,130,1,0
M0000,2026-03-02,medium,Telangana,176,12,1592.93,1127.94,151,21,128,1,0
M0000,2026-03-03,medium,Telangana,209,10,1533.25,1058.18,156,21,132,1,0
M0000,2026-03-04,medium,Telangana,211,17,1770.16,1171.18,138,20,117,1,0
M0000,2026-03-05,medium,Telangana,194,8,1518.48,1078.86,153,19,130,1,0
M0000,2026-03-06,medium,Telangana,189,13,1727.35,1217.89,158,22,134,1,0
M0000,2026-03-07,medium,Telangana,241,17,1745.94,1266.83,153,22,130,1,0
M0000,2026-03-08,medium,Telangana,229,11,1581.05,1076.57,175,27,148,1,0
M0000,2026-03-09,medium,Telangana,194,14,1524.76,1183.09,126,14,107,1,0
M0000,2026-03-10,medium,Telangana,205,7,1666.04,1153.18,157,29,133,1,0
M0000,2026-03-11,medium,Telangana,193,16,1571.53,1022.22,140,15,119,1,0
M0000,2026-03-12,medium,Telangana,197,5,1599.71,1377.91,175,28,148,1,0
